goos: linux
goarch: amd64
pkg: github.com/tsenart/casei/arena
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    160030 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9623 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    215414 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9514 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    215160 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9491 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    190621 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9510 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    163717 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9503 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    163632 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9535 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    161635 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9531 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    168368 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9520 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    162121 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9538 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    163241 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9498 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    162835 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9495 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    204266 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9524 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    191159 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9510 x_vs_best
PASS
ok  	github.com/tsenart/casei/arena	87.008s
