name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,305.77ms,226.41us,4.82us,247.76us,61.93us,216.92us,804.53us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,102.41ms,45.83us,1.97us,61.66us,55.98us,43.40us,677.24us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,1000,153.05ms,75.09us,2.14us,102.18us,59.72us,72.40us,0.99ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,202.48ms,137.62us,172.00ns,140.88us,9.45us,137.27us,280.96us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,1000,203.50ms,122.14us,2.92us,125.50us,9.99us,117.58us,251.64us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,1570556,1000,407.61ms,329.75us,9.88us,333.48us,22.41us,314.85us,741.90us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,1000,204.39ms,132.38us,2.08us,144.81us,48.34us,129.44us,0.99ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,1000,356.51ms,298.03us,2.48us,301.83us,25.78us,294.76us,940.37us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,607.27ms,458.61us,5.89us,484.13us,93.94us,441.26us,1.88ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,152.62ms,98.43us,2.84us,99.61us,5.24us,93.56us,150.58us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,218,712.94ms,2.28ms,11.25us,2.29ms,84.12us,2.24ms,3.43ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,560.27ms,481.86us,4.40us,484.57us,11.25us,473.42us,586.87us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,957,755.20ms,525.13us,8.16us,522.10us,41.08us,481.29us,1.04ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,1570556,783,611.03ms,624.81us,11.38us,638.64us,60.50us,607.30us,1.74ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,55,712.76ms,9.14ms,29.03us,9.14ms,39.13us,9.06ms,9.22ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,305,712.32ms,1.63ms,9.28us,1.64ms,26.53us,1.61ms,1.86ms
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,152.52ms,87.63us,2.15us,91.45us,53.59us,82.94us,1.71ms
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,613357,1000,51.68ms,20.33us,143.00ns,20.68us,1.65us,19.99us,36.90us
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,102.47ms,66.19us,45.00ns,66.84us,1.95us,66.01us,93.75us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,152.62ms,88.10us,1.56us,88.78us,4.79us,82.69us,175.83us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,613357,1000,51.71ms,20.13us,89.00ns,20.45us,1.60us,19.82us,38.67us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,102.54ms,66.22us,47.00ns,66.96us,2.20us,66.05us,85.79us
