name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,16013977,605,852.31ms,818.66us,8.10us,826.57us,30.33us,791.72us,1.25ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,16013977,682,601.41ms,732.29us,4.59us,733.92us,9.49us,720.67us,808.27us
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,16013977,427,652.07ms,1.17ms,7.28us,1.17ms,16.25us,1.15ms,1.26ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,16013977,280,702.00ms,1.78ms,11.06us,1.79ms,21.59us,1.76ms,1.88ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,16013977,124,1.60s,4.05ms,24.76us,4.06ms,42.80us,3.99ms,4.24ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,16013977,288,701.81ms,1.73ms,20.14us,1.74ms,35.03us,1.69ms,1.99ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,16013977,10,751.99ms,51.24ms,255.58us,51.62ms,659.62us,50.89ms,52.91ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,16013977,24,751.93ms,21.48ms,230.53us,21.41ms,211.87us,21.14ms,21.75ms
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,150.54ms,104.80us,874.00ns,105.79us,3.11us,102.90us,128.87us
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.51ms,67.79us,1.55us,68.51us,3.10us,65.35us,93.65us
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,100.50ms,72.61us,66.00ns,73.48us,3.15us,72.40us,129.50us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,100.53ms,47.00us,170.00ns,47.69us,2.84us,46.49us,87.16us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.50ms,83.12us,1.93us,83.94us,3.43us,79.56us,107.88us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,150.58ms,107.08us,229.00ns,108.09us,2.70us,106.54us,128.68us
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,150.56ms,111.56us,691.00ns,112.72us,3.22us,109.39us,141.05us
